ABCD1
BCAP31
LOC130068830
LOC130068831
LOC130068832
LOC130068833
LOC130068834
PLXNB3
PLXNB3-AS1
SRPK3
ACTB
AHRR
BRD9
CEP72
CLPTM1L
EXOC3
EXOC3-AS1
IRX4
LPCAT1
MRPL36
NDUFS6
NKD2
PDCD6
SDHA
SLC12A7
SLC6A18
SLC6A19
SLC6A3
SLC9A3
TERT
TPPP
TRIP13
ZDHHC11
ZDHHC11B
ANO3
AOPEP
ASB4
BET1
CASD1
COL1A2
DYNC1I1
GNG11
GNGT1
PDK4
PEG10
PON1
PON2
PON3
PPP1R9A
SGCE
TFPI2
ATP1A3
ATP5MC3
SLC6A8
BMP4
CDKN3
CGRRF1
CNIH1
GCH1
GMFB
SAMD4A
BTK
TIMM8A
CHROMR
PRKRA
COL6A3
DLL3
LOC130064417
PLEKHG2
EIF2AK2
FLG
FLG-AS1
LOC130055692
GNAL
HPCA
INS
INS-IGF2
TH
KCNN2
LOC101927078
KCNQ2
KCTD17
KMT2B
LOC129388752
SLC30A10
LOC129934069
SPR
LOC129935594
PNKD
LOC129995449
SQSTM1
LOC129998824
LOC129998825
LOC129998822
LOC129998823
LOC130006887
VPS11
LOC130063295
TUBB4A
MECR
MT-ND3
MT-ND6
MT-TC
NR4A2
NUP54
PDE2A
PEX6
PURA
SHQ1
SLC18A2
SLC2A1
SLC2A1-DT
SLC39A14
TAF1
TBC1D24
THAP1
TOR1A
TSPOAP1
TSPOAP1-AS1
VPS16
VPS4A
WARS2
